Extensive Reading Foundation Graded Reader List																												
Cambridge U. Press					Level Info					Word count / Length				M-Reader		Genre & Audience			Publication Data									Further Information
ERF code	Publisher	Title ERF Language Learner Literature Awards: LLLA Winners in Red, Finalists in Blue	Author(s)	Series	Publisher level	Headwords	ERF level (E) Early (M) Mid (H) High	Common European Framework CEFR level	Yomi- yasusa level (YL) Average	Word count  (body only)	Additional material wordcount	Actual or Estimated count?	Book length (Pages)	Quiz  Avaliable? (Y)es, (N)o,  (S)oon	MReader Reading Level [RL]	Fiction (F) Nonfiction (NF)	Genre mystery, adventure, love, horror, etc.	Target age group: children, teen, adult, etc.	ISBN A (without CD/CD-ROM)	ISBN B (with CD/CD-ROM)	ISBN C (?)	ISBN D (?)	ISBN C (ebook)	Audio available free online	Copyright  Year	Year First Published	In print?	Notes on publishing history, awards, special features, etc.
CDIR3	Cambridge U. Press	Sugar: Our Guilty Pleasure	Walker, Theo	Cambridge Discovery Education Interactive Readers	Low Intermediate	700	Elementary (H)	A2		2,362 				N	5	NF		Teen/adult	9781107681460					Yes				
CDIR3	Cambridge U. Press	Survival Guide: Lost in the Mountains	O'Dell, Kathryn	Cambridge Discovery Education Interactive Readers	Low Intermediate	700	Elementary (H)	A2		2,407 				N	5	NF		Teen/adult	9781107643284					Yes				
CDIR3	Cambridge U. Press	Sushi Nation	Kocienda, Genevieve	Cambridge Discovery Education Interactive Readers	Low Intermediate	700	Elementary (H)	A2		2,377 				N	5	NF		Teen/adult	9781107631472					Yes				
CDIR3	Cambridge U. Press	Swing, Slither, Swim	Walker, Theo	Cambridge Discovery Education Interactive Readers	Low Intermediate	700	Elementary (H)	A2		1,751 				Y	4	NF		Teen/adult	9781107692428					Yes				
CDIR3	Cambridge U. Press	Three in One: The Challenge of the Triathlon	Kocienda, Genevieve	Cambridge Discovery Education Interactive Readers	Low Intermediate	700	Elementary (H)	A2		1,949 				Y	4	NF		Teen/adult	9781107622555					Yes				
CDIR3	Cambridge U. Press	Water: Vital for Life	Kocienda, Genevieve	Cambridge Discovery Education Interactive Readers	Low Intermediate	700	Elementary (H)	A2		1,881 				Y	4	NF		Teen/adult	9781107622517					Yes				
CDIR3	Cambridge U. Press	Weird Animals	Kocienda, Genevieve	Cambridge Discovery Education Interactive Readers	Low Intermediate	700	Elementary (H)	A2		1,993 				Y	4	NF		Teen/adult	9781107656642					Yes				
CDIR3	Cambridge U. Press	What Are the Odds? From Shark Attack to Lightning Strike	Kocienda, Genevieve	Cambridge Discovery Education Interactive Readers	Low Intermediate	700	Elementary (H)	A2		2,014 				Y	4	NF		Teen/adult	9781107668393					Yes				
CDIR3	Cambridge U. Press	What Makes a Place Special? Moscow, Egypt, Australia	Maule, David	Cambridge Discovery Education Interactive Readers	Low Intermediate	700	Elementary (H)	A2		1,866 				Y	4	NF		Teen/adult	9781107633179					Yes				
CDIR3	Cambridge U. Press	Wheel, The	Shackelton, Caroline	Cambridge Discovery Education Interactive Readers	Low Intermediate	700	Elementary (H)	A2		2,358 				N	5	NF		Teen/adult	9781107667396					Yes				
CDIR4	Cambridge U. Press	Altruism: What's in it for Me?	Sargent, Brian	Cambridge Discovery Education Interactive Readers	Intermediate	1,200	Intermed. (M)	B1		3,007 				N	7	NF		Teen/adult	9781107622623					Yes				
CDIR4	Cambridge U. Press	Deep Blue: Discovering the Sea	Shackelton, Caroline	Cambridge Discovery Education Interactive Readers	Intermediate	1,200	Intermed. (M)	B1		2,730 				N	7	NF		Teen/adult	9781107697058					Yes				
CDIR4	Cambridge U. Press	Down to Earth	Shackelton, Caroline	Cambridge Discovery Education Interactive Readers	Intermediate	1,200	Intermed. (M)	B1		2,685 				Y	7	NF		Teen/adult	9781107661172					Yes				
CDIR4	Cambridge U. Press	Found: Discovery and Recovery	Sargent, Brian	Cambridge Discovery Education Interactive Readers	Intermediate	1,200	Intermed. (M)	B1		2,647 				N	6	NF		Teen/adult	9781107632127					Yes				
CDIR4	Cambridge U. Press	Get Smart: Our Amazing Brain	Shackelton, Caroline	Cambridge Discovery Education Interactive Readers	Intermediate	1,200	Intermed. (M)	B1		2,319 				Y	6	NF		Teen/adult	9781107650633					Yes				
CDIR4	Cambridge U. Press	Gold: Greed and Glory	Sargent, Brian	Cambridge Discovery Education Interactive Readers	Intermediate	1,200	Intermed. (M)	B1		2,499 				N	7	NF		Teen/adult	9781107652606					Yes				
CDIR4	Cambridge U. Press	Life on the Edge: Extreme Homes	Sargent, Brian	Cambridge Discovery Education Interactive Readers	Intermediate	1,200	Intermed. (M)	B1		2,893 				N	6	NF		Teen/adult	9781107630284					Yes				
CDIR4	Cambridge U. Press	Losing It: The Meaning of Loss	Sargent, Brian	Cambridge Discovery Education Interactive Readers	Intermediate	1,200	Intermed. (M)	B1		2,802 				N	6	NF		Teen/adult	9781107681910					Yes				
CDIR4	Cambridge U. Press	Mark Your Territory	Sargent, Brian	Cambridge Discovery Education Interactive Readers	Intermediate	1,200	Intermed. (M)	B1		2,736 				N	6	NF		Teen/adult	9781107658950					Yes				
CDIR4	Cambridge U. Press	Our Green Future	Naughton, Diane	Cambridge Discovery Education Interactive Readers	Intermediate	1,200	Intermed. (M)	B1		2,573 				N	6	NF		Teen/adult	9781107672864					Yes				
CDIR4	Cambridge U. Press	Placebo Effect: The Power of Positive Thinking, The	Sargent, Brian	Cambridge Discovery Education Interactive Readers	Intermediate	1,200	Intermed. (M)	B1		2,729 				N	6	NF		Teen/adult	9781107622630					Yes				
CDIR4	Cambridge U. Press	Punch: All About Boxing	Hanzie, Christopher	Cambridge Discovery Education Interactive Readers	Intermediate	1,200	Intermed. (M)	B1		2,710 				N	7	NF		Teen/adult	9781107677272					Yes				
CDIR4	Cambridge U. Press	Rescued: The Chilean Mining Accident	Naughton, Diane	Cambridge Discovery Education Interactive Readers	Intermediate	1,200	Intermed. (M)	B1		3,056 				N	7	NF		Teen/adult	9781107655195					Yes				
CDIR4	Cambridge U. Press	Secrets to a Long Life	Naughton, Diane	Cambridge Discovery Education Interactive Readers	Intermediate	1,200	Intermed. (M)	B1		2,805 				N	6	NF		Teen/adult	9781107683785					Yes				
CDIR4	Cambridge U. Press	Traditions of Death, The	Sargent, Brian	Cambridge Discovery Education Interactive Readers	Intermediate	1,200	Intermed. (M)	B1		2,853 				N	7	NF		Teen/adult	9781107635784					Yes				
CDIR4	Cambridge U. Press	True Colors	Naughton, Diane	Cambridge Discovery Education Interactive Readers	Intermediate	1,200	Intermed. (M)	B1		2,686 				N	7	NF		Teen/adult	9781107660687					Yes				
CDIR4	Cambridge U. Press	Up in the Air: Our Fight Against Gravity	Shackelton, Caroline	Cambridge Discovery Education Interactive Readers	Intermediate	1,200	Intermed. (M)	B1		2,810 				N	7	NF		Teen/adult	9781107634701					Yes				
CDIR4	Cambridge U. Press	Venice: The Floating City	Naughton, Diane	Cambridge Discovery Education Interactive Readers	Intermediate	1,200	Intermed. (M)	B1		2,254 				N	6	NF		Teen/adult	9781107621633					Yes				
CDIR4	Cambridge U. Press	Weird Weapons	Parker, Helen	Cambridge Discovery Education Interactive Readers	Intermediate	1,200	Intermed. (M)	B1		2,539 				N	6	NF		Teen/adult	9781107652002					Yes				
CDIR4	Cambridge U. Press	What Are You Afraid Of? Fears and Phobias	Naughton, Diane	Cambridge Discovery Education Interactive Readers	Intermediate	1,200	Intermed. (M)	B1		2,480 				N	7	NF		Teen/adult	9781107650510					Yes				
CDIR5	Cambridge U. Press	Bounce! The Wonderful World of Rubber	Schreyer, Karmel	Cambridge Discovery Education Interactive Readers	Upper Intermediate	1,800	Upper Int. (E)	B2		2,767 				N	8	NF		Teen/adult	9781107641549					Yes				
CDIR5	Cambridge U. Press	Bucket List, The	Schreyer, Karmel	Cambridge Discovery Education Interactive Readers	Upper Intermediate	1,800	Upper Int. (E)	B2		2,658 				Y	8	NF		Teen/adult	9781107666832					Yes				
CDIR5	Cambridge U. Press	Skin	Shackelton, Caroline	Cambridge Discovery Education Interactive Readers	Upper Intermediate	1,800	Upper Int. (E)	B2		2,891 				N	8	NF		Teen/adult	9781107641891					Yes				
CDIR5	Cambridge U. Press	Tragedy on the Slopes	Schreyer, Karmel	Cambridge Discovery Education Interactive Readers	Upper Intermediate	1,800	Upper Int. (E)	B2		2,466 				N	8	NF		Teen/adult	9781107621596					Yes				
CDIR5	Cambridge U. Press	Turtles: Ancient Symbol/Modern Survivor	Schreyer, Karmel	Cambridge Discovery Education Interactive Readers	Upper Intermediate	1,800	Upper Int. (E)	B2		2,673 				N	8	NF		Teen/adult	9781107660571					Yes				
CDIR5	Cambridge U. Press	Water Power: The Greatest Force on Earth	Schreyer, Karmel	Cambridge Discovery Education Interactive Readers	Upper Intermediate	1,800	Upper Int. (E)	B2		2,479 				N	8	NF		Teen/adult	9781107688971					Yes				
CDIR6	Cambridge U. Press	Avalanche!	Shackelton, Caroline	Cambridge Discovery Education Interactive Readers	High Intermediate	1,800	Upper Int. (E)	B2+		2,579 				N	8	NF		Teen/adult	9781107621572					Yes				
CDIR6	Cambridge U. Press	Lift Off: Exploring the Universe	Shackelton, Caroline	Cambridge Discovery Education Interactive Readers	High Intermediate	1,800	Upper Int. (E)	B2+		2,880 				N	8	NF		Teen/adult	9781107692497					Yes				
CDIR6	Cambridge U. Press	Money Tree: The Business of Organics	Shackelton, Caroline	Cambridge Discovery Education Interactive Readers	High Intermediate	1,800	Upper Int. (E)	B2+		2,821 				Y	8	NF		Teen/adult	9781107636781					Yes				
CDIR6	Cambridge U. Press	Poison: Medicine, Murder, and Mystery	Shackelton, Caroline	Cambridge Discovery Education Interactive Readers	High Intermediate	1,800	Upper Int. (E)	B2+		2,844 				N	8	NF		Teen/adult	9781107622609					Yes				
CDIR6	Cambridge U. Press	Robots: The Next Generation?	Shackelton, Caroline	Cambridge Discovery Education Interactive Readers	High Intermediate	1,800	Upper Int. (E)	B2+		2,691 				N	8	NF		Teen/adult	9781107677623					Yes				
CDIR6	Cambridge U. Press	Trapped! The Aron Ralston Story	Shackelton, Caroline	Cambridge Discovery Education Interactive Readers	High Intermediate	1,800	Upper Int. (E)	B2+		2,978 				N	8	NF		Teen/adult	9781107669987					Yes				
CERS	Cambridge U. Press	Arman's Journey	Philip Prowse	Cambridge English Readers	Starter/Beginner	250 	Beginner (H)	pre-A1	1.2-1.4					Y	3	F	Romance	Adult/ Young Adult	9780521184939	9780521184960				Yes			Y	LLLA WINNER 2012
CERS	Cambridge U. Press	Big Hair Day	Margaret Johnson	Cambridge English Readers	Starter/Beginner	250 	Beginner (H)	pre-A1	1.2-1.4	2,071 		A		Y	3	F	Romance	Adult/ Young Adult	9780521167352	9780521183659			9780511921971	Yes			Y	
CERS	Cambridge U. Press	Black Pearls, The	Macandrew, Richard 	Cambridge English Readers	Starter/Beginner	250 	Beginner (H)	pre-A1	1.2-1.4	2,569 		A		Y	3	F	Adventure	Adult/ Young Adult	9780521732901	9780521732895			9780511433993	Yes			Y	
CERS	Cambridge U. Press	Book Boy	Antoinette Moses	Cambridge English Readers	Starter/Beginner	250 	Beginner (H)	pre-A1	1.2-1.4	2,575 		A		Y	3	F	Human Interest	Adult/ Young Adult	9780521182706	9780521156776			9780511730672	Yes			Y	
CERS	Cambridge U. Press	Death in Oxford, A	Macandrew, Richard 	Cambridge English Readers	Starter/Beginner	250 	Beginner (H)	pre-A1	1.2-1.4	2,581 		A		Y	3	F	Murder Mystery	Adult/ Young Adult	9780521704656	9780521704649				Yes			Y	
