r cabinet lighting																											
Penguin ELT					Level Info					Word count / Length				M-Reader		Genre & Audience			Publication Data								Further Information
ERF code	Publisher	Title ERF Language Learner Literature Awards: LLLA Winners in Red, Finalists in Blue	Author(s)	Series	Publisher level	Headwords	ERF level (E) Early (M) Mid (H) High	Common European Framework CEF level	Yomi- yasusa level (YL) Average	Word count  (body only)	Additional material wordcount	Actual or Estimated count?	Book length (Pages)	Quiz  Avaliable? (Y)es, (N)o,  (S)oon	MReader Reading Level [RL]	Fiction (F) Nonfiction (NF)	Genre mystery, adventure, love, horror, etc.	Target age group: children, teen, adult, etc.	ISBN A (without CD/CD-ROM)	ISBN B (with CD/CD-ROM)	ISBN C (?)	ISBN D (?)	ISBN E (?)	Copyright  Year	Year First Published	In print?	Notes on publishing history, awards, special features, etc.
PAR2	Penguin	Wonders Of The World	Vicky Shipton	Penguin Active Reading	2	600	Elementary (M)	A2	2.2-2.4	4,995		A	48	Y	3		Original	teen, adult	9781408270165	9781408232002				2010	2010	Y	
PAR3	Penguin	The Adventures of Huckleberry Finn	Mark Twain	Penguin Active Reading	3	1,200 	Intermediate (M)	A2	3.2-3.6	13,826		A	76	N	5		Classic	teen, adult	9781408270172	9781405884457				2008	2008	Y	formerly Penguin Readers
PAR3	Penguin	And Then There Were None	Christie, Agatha	Penguin Active Reading	3	1200	Intermediate (M)	A2	3.2-3.6	18,683		A	80	N	5		Contemporary	teen, adult	9781408293201	9781408261200				2011	2011	Y	
PAR3	Penguin	Big Sleep, The	Raymond Chandler	Penguin Active Reading	3	1,200 	Intermediate (M)	A2	3.2-3.6	21,000 		A	76	N	5		Classic	teen, adult	9781447931584	9781408264065				2012	2012	Y	
PAR3	Penguin	Breakfast at Tiffany's	Truman Capote	Penguin Active Reading	3	1200	Intermediate (M)	A2	3.2-3.6	19,028		A		N	5		-	teen, adult	-	9781408232019				2010	2010	N	
PAR3	Penguin	Carmilla	Joseph Sheridan Le Fanu	Penguin Active Reading	3	1,200 	Intermediate (M)	A2	3.2-3.6	16,603 		A	80	N	5		Classic	teen, adult	9781408293225	9781408261224				2011	2011	Y	
PAR3	Penguin	Charles Dickens	 Paul Shipton	Penguin Active Reading	3	1,200 	Intermediate (M)	A2	3.2-3.6	13,439 		A	60	Y	5		Original	teen, adult	9781408293232	9781405852111				2007	2007	Y	
PAR3	Penguin	Curious Case of Benjamin Button and Other Storiesl, The	Fitzgerald, F. Scott 	Penguin Active Reading	3	1,200 	Intermediate (M)	A2	3.2-3.6	17,733 		A	80	N	5		Classic	teen, adult	9781408293218	9781408261217				2011	2011	Y	
PAR3	Penguin	Frankenstein	 Mary Shelley	Penguin Active Reading	3	1,200 	Intermediate (M)	A2	3.2-3.6	14,215 		A	76	Y	5		Classic	teen, adult	9781408270189	9781405884464				2008	2008	Y	formerly Penguin Readers
PAR3	Penguin	Horse Whisperer, The	Evans, Nicholas	Penguin Active Reading	3	1,200 	Intermediate (M)	A2	3.2-3.6	19,775 		A	96	Y	5		Contemporary	teen, adult	9781408293294	9781408209554				2009	2009	Y	formerly Penguin Readers
PAR3	Penguin	Incredible Journey, The	 Sheila Bumford	Penguin Active Reading	3	1,200 	Intermediate (M)	A2	3.2-3.6	14,895 		A	76	Y	5		Contemporary	teen, adult	9781408293300	9781405884471				2008	2008	Y	formerly Penguin Readers
PAR3	Penguin	Japanese Ghost Stories	 Lafcadio Hearn	Penguin Active Reading	3	1,200 	Intermediate (M)	A2	3.2-3.6	16,006 		A	76	Y	5		Classic	teen, adult	9781408270196	9781405884488				2008	2008	Y	
PAR3	Penguin	Logan's Run	William F Nolan, George Clayton Johson	Penguin Active Reading	3	1,200 	Intermediate (M)	A2	3.2-3.6	17,291 		A	80	Y	5		Contemporary	teen, adult	9781408293249	9781408232026				2010	2010	Y	
PAR3	Penguin	Mysteries of the Unexplained	 Kathy Burke	Penguin Active Reading	3	1,200 	Intermediate (M)	A2	3.2-3.6	7,441 		A	44	Y	5		Original	teen, adult	9781408270202	9781405852128				2007	2007	Y	formerly Penguin Readers
PAR3	Penguin	Olympics, The	Paul Shipton	Penguin Active Reading	3	1,200 	Intermediate (M)	A2	3.2-3.6	15,350 		A	60	Y	5		Original	teen, adult	9781447931591	9781408264072				2012	2012	Y	
PAR3	Penguin	Pearl, The	John Steinbeck	Penguin Active Reading	3	1,200 	Intermediate (M)	A2	3.2-3.6	13,824 		A	76	Y	5		Classic	teen, adult	9781408293256	9781405852135				2007	2007	Y	formerly Penguin Readers
PAR3	Penguin	Romans, The	 David Maule	Penguin Active Reading	3	1,200 	Intermediate (M)	A2	3.2-3.6	14,265 		A	60	Y	5		Original	teen, adult	9781408270219	9781405852142				2007	2007	Y	
PAR3	Penguin	Silas Marner	Eliot, George	Penguin Active Reading	3	1,200 	Intermediate (M)	A2	3.2-3.6	19,630 		A	80	Y	5		Classic	teen, adult	9781408293263	9781408209530				2009	2009	Y	formerly Penguin Readers
PAR3	Penguin	Six Ghost Stories	Burton, S.H. 	Penguin Active Reading	3	1,200 	Intermediate (M)	A2	3.2-3.6	10,423 		A	64	Y	5		Original	teen, adult	9781408293270	9781408209547				2009	2009	Y	formerly Penguin Readers
PAR3	Penguin	Snow Goose and Other Stories, The	  Paul Gallico	Penguin Active Reading	3	1,200 	Intermediate (M)	A2	3.2-3.6	12,991 		A	76	Y	5		Classic	teen, adult	9781408293287	9781405852159				2007	2007	Y	formerly Penguin Readers
PAR3	Penguin	Stories of Courage	 Clare Gray	Penguin Active Reading	3	1,200 	Intermediate (M)	A2	3.2-3.6	9,451 		A	44	Y	5		Original	teen, adult	9781408270226	9781405852166				2007	2007	Y	formerly Penguin Readers
PAR3	Penguin	Sweeney Todd	 Anonymous 	Penguin Active Reading	3	1,200 	Intermediate (M)	A2	3.2-3.6	22,385 		A	80	Y	5		Classic	teen, adult	9781408270233	9781408232033				2010	2010	Y	
PAR3	Penguin	Titanic!	 Paul Shipton	Penguin Active Reading	3	1,200 	Intermediate (M)	A2	3.2-3.6	5,676 		A	60	Y	5		Original	teen, adult	9781408248959	9781405884495				2008	2008	Y	formerly Penguin Readers
PAR3	Penguin	Yearling, The	 Marjorie Kinnan Rawlings	Penguin Active Reading	3	1,200 	Intermediate (M)	A2	3.2-3.6	10,870 		A	76	Y	5		Contemporary	teen, adult	9781408293317	9781405852173				2007	2007	N	formerly Penguin Readers
PAR3	Penguin	Young King, The	Wilde, Oscar	Penguin Active Reading	3	1,200 	Intermediate (M)	A2	3.2-3.6	14,738 		A	72	Y	5		Classic	teen, adult	9781408293324	9781408209561				2009	2009	Y	formerly Penguin Readers
PAR4	Penguin	ABC Murders, The	Agatha Christie	Penguin Active Reading	4	1,700 	Upper Int. (E)	B1	4.0-4.5	27,559 		A	96	Y	6		Contemporary	teen, adult	9781408270295	9781408232057				2010	2010	Y	
PAR4	Penguin	About a Boy	Nick Hornby	Penguin Active Reading	4	1,700 	Upper Int. (E)	B1	4.0-4.5	21,322 		A	92	N	6		Contemporary	teen, adult	9781408270240	9781405884501				2008	2008	Y	formerly Penguin Readers
PAR4	Penguin	Bleak House	Charles Dickens	Penguin Active Reading	4	1,700 	Upper Int. (E)	B1	4.5-5.0	28,795 		A	96	Y	6		Classic	teen, adult	No Book Only	9781408231180				2010	2010	Y	
PAR4	Penguin	Body in the Library, The	Agatha Christie	Penguin Active Reading	4	1,700 	Upper Int. (E)	B1	4.0-4.5	25,242 		A	92	Y	6		Contemporary	teen, adult	No Book Only	9781405884518				2008	2008	Y	
PAR4	Penguin	Confession The	John Grisham	Penguin Active Reading	4	1700	Upper Int. (E)	B1	4.0-4.5	27379		A	96	Y	6		Contemporary	teen, adult	No Book Only	9781447954330				2014	2014	Y	
PAR4	Penguin	Crime Story Collection	Patricia Highsmith, Sara Paretsky, Margery Allingham, Sue Grafton, Jack Ritchie, Colin Dexter, Simon Brett	Penguin Active Reading	4	1700	Upper Int. (E)	B1	4.0-4.5	17,833		A	76	Y	6		Contemporary	teen, adult	No Book Only	9781405852180				2007	2007	Y	formerly Penguin Readers
PAR4	Penguin	Dream And Other Stories, The	D H Lawrence, Daphne Du Maurier, Frank Tilsley, John Collier, W J Lederer, E Burdick, Cyril Hare	Penguin Active Reading	4	1,700 	Upper Int. (E)	B1	4.0-4.5	16,504		A	76	Y	6		Contemporary	teen, adult	No Book Only	9781405852197				2007	2007	Y	formerly Penguin Readers
PAR4	Penguin	Evil Under The Sun	Agatha Christie	Penguin Active Reading	4	1,700 	Upper Int. (E)	B1	4.0-4.5	28,525		A	96	Y	6		Contemporary	teen, adult	9781408293331	9781408232040				2010	2010	Y	
PAR4	Penguin	Full Monty, The	Holden, Wendy	Penguin Active Reading	4	1,700 	Upper Int. (E)	B1	4.0-4.5	18,645		A	76	Y	6		Contemporary	teen, adult	9781408270301	9781408209578				2009	2009	Y	formerly Penguin Readers
PAR4	Penguin	How Green Was My Valley	Llewellyn, Richard	Penguin Active Reading	4	1,700 	Upper Int. (E)	B1	4.0-4.5	28,342		A	96	N	6		Classic	teen, adult	9781408293348	9781408261231				2011	2011	Y	
PAR4	Penguin	Leonardo Da Vinci	Georgia Clarke	Penguin Active Reading	4	1,700 	Upper Int. (E)	B1	4.0-4.5	23,203		A	96	N	6		Contemporary	teen, adult	9781408270257	9781408231197				2010	2010	Y	
PAR4	Penguin	Maltese Falcon, The		Penguin Active Reading	4	1,700 	Upper Int. (E)	B1	4.0-4.5					N	6		Contemporary	teen, adult	9781447931645	9781408264089						N	
PAR4	Penguin	Monkey King, The	Wu Ch'eng-en	Penguin Active Reading	4	1,700 	Upper Int. (E)	B1	4.0-4.5	29,672		A	96	Y	6		Contemporary	teen, adult	9781408210253	9781408232064				2010	2010	N	
PAR4	Penguin	Nicholas Nickleby	 Charles Dickens	Penguin Active Reading	4	1,700 	Upper Int. (E)	B1	4.0-4.5	18,766		A	76	N	6		Classic	teen, adult	No Book Only	9781405852203				2007	2007	Y	formerly Penguin Readers
PAR4	Penguin	Odyssey, The	 Homer	Penguin Active Reading	4	1,700 	Upper Int. (E)	B1	4.5-5.0	31,397		A	92	Y	6		Classic	teen, adult	No Book Only	9781405884525				2008	2008	Y	
PAR4	Penguin	Oliver Twist	 Charles Dickens	Penguin Active Reading	4	1,700 	Upper Int. (E)	B1	4.0-4.5	16,791		A	92	Y	6		Classic	teen, adult	9781408270264	9781405884532				2008	2008	Y	formerly Penguin Readers
PAR4	Penguin	Red Pony, The	Steinbeck, John	Penguin Active Reading	4	1700	Upper Int. (E)	B1	4.0-4.5	16,879		A	80	Y	6		Contemporary	teen, adult	9781408293355	9781408209585				2009	2009	Y	formerly Penguin Readers
PAR4	Penguin	Secret Codes	 Ken Beatty	Penguin Active Reading	4	1700	Upper Int. (E)	B1	4.0-4.5	18,395		A	76	Y	6		Original	teen, adult	9781408270288	9781405852227				2007	2007	Y	
PAR4	Penguin	Street Lawyer, The	John Grisham	Penguin Active Reading	4	1700	Upper Int. (E)	B1	4.0-4.5	16,407		A	76	Y	6		Contemporary	teen, adult	9781408293362	9781405852234				2007	2007	Y	formerly Penguin Readers
