Extensive Reading Foundation Graded Reader List																											
Macmillan ELT					Level Info					Wordcount / Length				M-Reader		Genre & Audience			Publication Data								Further Information
ERF code	Publisher	Title ERF Language Learner Literature Awards: LLLA Winners in Red, Finalists in Blue	Author(s)	Series	Publisher level	Headwords	ERF level (E) Early (M) Mid (H) High	Common European Framework CEF level	Yomi- yasusa level (YL) Average	Word count  (body only)	Additional material wordcount	Actual or Estimated count?	Book length (Pages)	Quiz  Avaliable? (Y)es, (N)o,  (S)oon	MReader Reading Level [RL]	Fiction (F) Nonfiction (NF)	Genre mystery, adventure, love, horror, etc.	Target age group: children, teen, adult, etc.	ISBN A (without CD/CD-ROM)	ISBN B (with CD/CD-ROM)	ISBN C (eBook)	ISBN D (Audiobook)	ISBN E (?)	Copyright  Year	Year First Published	In print?	Notes on publishing history, awards, special features, etc.
MCR5	Macmillan Publishing	New York - Adventure in the Big Apple	Paul Shipton	Macmillan Children's Readers	5 - Movers	NA		A2		600		A	32	N		F/NF		Children	9780230405028	N/A	N/A	N/A		2012	2012	Y	free audio download
MCR5	Macmillan Publishing	Penguins - Race to the South Pole	Luther Reimer / Cheryl Palin	Macmillan Children's Readers	5 - Movers	NA		A2		1,334		A	32	N		F/NF		Children	9781405057226	N/A	N/A	N/A		2005	2005	Y	free audio download
MCR5	Macmillan Publishing	Pumpkins - A Pie for Miss Potter	Mark Ormerod	Macmillan Children's Readers	5 - Movers	NA		A2		600		A	32	N		F/NF		Children	9780230405011	N/A	N/A	N/A		2012	2012	Y	free audio download
MCR5	Macmillan Publishing	Volcanoes - The Legend of Batok Volcano	Series Authors	Macmillan Children's Readers	5 - Movers	NA		A2		1,264		A	32	N		F/NF		Children	9781405057233	N/A	N/A	N/A		2005	2005	Y	free audio download
MCR5		Wild West, The / The Tall Tale of Rex Rodeo	Paul Mason	Macmillan Children's Readers	5 - Movers	NA		A2		1840		A	32			F/NF		Children	9780230469235	N/A	N/A	N/A		2015	2015	Y	free audio download
MCR6		Edinburgh/Festival Fear	Paul Mason	Macmillan Children's Readers	6 - Movers	NA		A2		1710		A	32			F/NF		Children	9780230469242	N/A	N/A	N/A		2015	2015	Y	free audio download
MCR6	Macmillan Publishing	Caves - The Lucky Accident	Tim Ross	Macmillan Children's Readers	6 - Movers	NA		A2		1,510		A	32	N		F/NF		Children	9781405074131	N/A	N/A	N/A		2005	2005	Y	free audio download
MCR6	Macmillan Publishing	Deep, The - The City Under the Sea	Paul Shipton	Macmillan Children's Readers	6 - Movers	NA		A2		600		A	32	N		F/NF		Children	9780230405066	N/A	N/A	N/A		2012	2012	Y	free audio download
MCR6	Macmillan Publishing	Gold - Pirate's Gold	Paul Shipton	Macmillan Children's Readers	6 - Movers	NA		A2		1,487		A	32	N		F/NF		Children	9780230010260	N/A	N/A	N/A		2007	2007	Y	free audio download
MCR6	Macmillan Publishing	Great Inventions - Lost!	Mark Ormerod	Macmillan Children's Readers	6 - Movers	NA		A2		600		A	32	N		F/NF		Children	9780230405059	N/A	N/A	N/A		2012	2012	Y	free audio download
