Extensive Reading Foundation Graded Reader List			Author(s)*っｙ																								
Pearson ELT					Level Info					Word count / Length				M-Reader		Genre & Audience			Publication Data								Further Information
ERF code	Publisher	Title ERF Language Learner Literature Awards: LLLA Winners in Red, Finalists in Blue	Author(s)*っｙ	Series	Publisher level	Headwords	ERF level (E) Early (M) Mid (H) High	Common European Framework CEF level	Yomi- yasusa level (YL) Average	Word count  (body only)	Additional material wordcount	Actual or Estimated count?	Book length (Pages)	Quiz  Avaliable? (Y)es, (N)o,  (S)oon	MReader Reading Level [RL]	Fiction (F) Nonfiction (NF)	Genre mystery, adventure, love, horror, etc.	Target age group: children, teen, adult, etc.	ISBN A (without CD/CD-ROM)	ISBN B (with CD/CD-ROM)	ISBN C (?)	ISBN D (?)	ISBN E (?)	Copyright  Year	Year First Published	In print?	Notes on publishing history, awards, special features, etc.
PERX0	Pearson	Marcel and the White Star	Rabley, Stephen	Pearson English Readers	Easystarts	200 	Beginner (M)	A1	0.8	962 		A	20	Y	1		Original	teen, adult	9781405869560	9781405880657				2008	2008	Y	
PERX0	Pearson	Pete and the Pirates	Rabley, Stephen	Pearson English Readers	Easystarts	200 	Beginner (M)	A1	0.8	1,397 		A	16	Y	1		Original	teen, adult	9781408221167	9781408232156				2010	2010	Y	
PERX0	Pearson	White Oryx, The	Smith, Bernard	Pearson English Readers	Easystarts	200 	Beginner (M)	A1	0.8	910 		A	20	Y	1		Original	teen, adult	9781405876728	9781405880725				2008	2008	Y	
PERX0	Pearson	Who Wants To Be a Star?	Iggulden, Margaret	Pearson English Readers	Easystarts	200 	Beginner (M)	A1	0.8	911 		A	20	Y	1		Original	teen, adult	9781405869607	9781405880732				2008	2008	Y	
PERX1	Pearson	Adventures of Tom Sawyer, The	Twain, Mark	Pearson English Readers	1	300 	Beginner (H)	A1	1.4-1.6	4,003 		A	32	Y	2		Classic	teen, adult	9781405842778	9781405878005				2008	2008	Y	
PERX1	Pearson	Battle of Newton Road, The	Dunkling, Leslie	Pearson English Readers	1	300 	Beginner (H)	A1	1.0-1.2	1,649 		A	20	Y	2		Original	teen, adult	9781405876940	9781405878029				2008	2008	Y	
PERX1	Pearson	Gift of the Magi and Other Stories, The	Henry, O	Pearson English Readers	1	300 	Beginner (H)	A1	1.2-1.4	4,349 		A	32	Y	2		Classic	teen, adult	9781405842785	9781405878043				2008	2008	Y	
PERX1	Pearson	Girl Meets Boy	Strange, Derek	Pearson English Readers	1	300 	Beginner (H)	A1	1.0-1.2	1,816 		A	32	Y	2		Original	teen, adult	9781405869713	9781405878050				2008	2008	Y	
PERX1	Pearson	House of the Seven Gables, The	Hawthorne, Nathaniel	Pearson English Readers	1	300 	Beginner (H)	A1	1.6-2.0	4,134 		A	32	Y	2		Classic	teen, adult	9781405842792	9781405878067				2008	2008	Y	
PERX1	Pearson	Jennifer Lopez	Smith, Rod	Pearson English Readers	1	300 	Beginner (H)	A1	1.0-1.2	1,983 		A	16	Y	2		Original	teen, adult	9781405881500	9781405878074				2008	2008	Y	
