Extensive Reading Foundation Graded Reader List																											
Oxford U. Press					Level Info					Word count / Length				M-Reader		Genre & Audience			Publication Data								Further Information
ERF code	Publisher	Title ERF Language Learner Literature Awards: LLLA Winners in Red, Finalists in Blue	Author(s)	Series	Publisher level	Headwords	ERF level (E) Early (M) Mid (H) High	Common European Framework CEF level	Yomi- yasusa level (YL) Average	Word count  (body only)	Additional material wordcount	Actual or Estimated count?	Book length (Pages)	Quiz  Avaliable? (Y)es, (N)o,  (S)oon	MReader Reading Level [RL]	Fiction (F) Nonfiction (NF)	Genre mystery, adventure, love, horror, etc.	Target age group: children, teen, adult, etc.	ISBN A (book only,  no CD/CD-ROM)	ISBN B (with audio CD) (Dominoes & Classic Tales w/ CD/CD-ROM) 	ISBN C (wtih MP3 CD)	ISBN D (eBook)	ISBN E (?)	Copyright  Year	Year First Published	In print?	Notes on publishing history, awards, special features, etc.
OBW1F	Oxford U. Press	Flight		Oxford Bookworms Library: Factfiles	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	2,900 		E		Y	4 	NF	Factfiles	teen & adult								N	
OBW1P	Oxford U. Press	Ghost In Love and Other Plays, A	Michael Dean	Oxford Bookworms Library: Playscripts	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	5,561 		A		Y	4 	F	Playscripts	teen & adult	978 0 19 4235013	978 0 19 423513 6	9780194637381			2008		Y	Audio-BrE
OBW1	Oxford U. Press	Goodbye, Mr Hollywood	John Escott	Oxford Bookworms Library	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	5,200 		A		Y	4 	F	Thriller and Adventure	teen & adult	978 0 19 4789059	978 0 19 478873 1	9780194620468			2008		Y	Audio-AmE
OBW1F		Hollywood	Janet Hardy-Gould	Oxford Bookworms Library: Factfiles	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	5,686 		A		N	4 	NF	Factfiles	teen & adult	9780194236713	9780194236638	9780194620420			2014		Y	Audio-BrE
OBW1F	Oxford U. Press	Japan	Rachel Bladon	Oxford Bookworms Library: Factfiles	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	5,354 		A		N	4 	NF	Factfiles	teen & adult	978 0 19 423669 0	978 0 19 4 236614	9780194620628			2013		Y	Audio-BrE
OBW1F		John Lennon	Alex Raynham	Oxford Bookworms Library: Factfiles	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	5,798 		A			4 	NF	Factfiles		9780194237888	9780194237864	9780194637558				2015	Y	Audio-BrE
OBW1F	Oxford U. Press	Kings and Queens of Britain		Oxford Bookworms Library: Factfiles	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	3,200 		E		Y	4 	NF	Factfiles	teen & adult								N	
OBW1	Oxford U. Press	Les Miserables	Retold by Jennifer Bassett	Oxford Bookworms Library	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	7,302 		A		Y	4 	F	Human Interest	Age 9/10+ up to adult	978 0 19 479440 4	978 0 19 479439 8	9780194620390			2012		Y	LLLA Winner 2013; Audio-BrE
OBW1	Oxford U. Press	Little Lord Fauntleroy	Frances Hodgson Burnett, Retold by JSB	Oxford Bookworms Library	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	7,250 		A		Y	4 	F	Human Interest	Age 9/10+ up to adult	978 0 19 4789295	978 0 19 478897 7	9780194637398			2009		Y	Audio-BrE
OBW1	Oxford U. Press	Little Princess, A	Frances Hodgson Burnett, Retold by JSB	Oxford Bookworms Library	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	5,840 		A		Y	4 	F	Human Interest	Age 9/10+ up to adult	978 0 19 4789066	978 0 19 778874 8	9780194620475			2008		Y	Audio-BrE
OBW1F	Oxford U. Press	London	John Escott	Oxford Bookworms Library: Factfiles	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	4,800 		A		Y	4 	NF (GE)	Factfiles	Age 9/10+ up to adult	978 0 19 4233743	978 0 19 423580 8	9780194620413			2008		Y	Audio-BrE
OBW1	Oxford U. Press	Lottery Winner, The	Rosemary Border	Oxford Bookworms Library	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	5,655 		A		Y	4 	F	Human Interest	teen & adult	978 0 19 4789073	978 0 19 478875 5	9780194620482			2008		Y	Audio-BrE
OBW1	Oxford U. Press	Love or Money?	Rowena Akinyemi	Oxford Bookworms Library	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	6,010 		A		Y	4 	F	Crime and Mystery	teen & adult	978 0 19 4789080	978 0 19 478876 2	9780194620499			2008		Y	Audio-BrE
OBW1	Oxford U. Press	Mary, Queen of Scots	Tim Vicary	Oxford Bookworms Library	Stage 1	400 	Elementary (E)	A1/A2	2.0-2.2	6,540 		A		Y	4 	NF	True Stories	teen & adult	978 0 19 4789097	978 0 19 478877 9	9780194637404			2008		Y	Audio-BrE
